2025-11-20 17:07:30,157 - INFO - Found 289 games missing stats.
2025-11-20 17:07:30,160 - INFO - [1/289] Filling stats for game_pk=633966, season=2021
2025-11-20 17:07:31,285 - INFO - [2/289] Filling stats for game_pk=634040, season=2021
2025-11-20 17:07:32,256 - INFO - [3/289] Filling stats for game_pk=633744, season=2021
2025-11-20 17:07:33,280 - INFO - [4/289] Filling stats for game_pk=633435, season=2021
2025-11-20 17:07:34,308 - INFO - [5/289] Filling stats for game_pk=633481, season=2021
2025-11-20 17:07:35,272 - INFO - [6/289] Filling stats for game_pk=634675, season=2021
2025-11-20 17:07:36,250 - INFO - [7/289] Filling stats for game_pk=633298, season=2021
2025-11-20 17:07:37,223 - INFO - [8/289] Filling stats for game_pk=632457, season=2021
2025-11-20 17:07:38,192 - INFO - [9/289] Filling stats for game_pk=632238, season=2021
2025-11-20 17:07:39,228 - INFO - [10/289] Filling stats for game_pk=660938, season=2021
2025-11-20 17:07:40,218 - INFO - [11/289] Filling stats for game_pk=660937, season=2021
2025-11-20 17:07:41,195 - INFO - [12/289] Filling stats for game_pk=660936, season=2021
2025-11-20 17:07:42,169 - INFO - [13/289] Filling stats for game_pk=660929, season=2021
2025-11-20 17:07:43,141 - INFO - [14/289] Filling stats for game_pk=660934, season=2021
2025-11-20 17:07:44,116 - INFO - [15/289] Filling stats for game_pk=660917, season=2021
2025-11-20 17:07:45,146 - INFO - [16/289] Filling stats for game_pk=660932, season=2021
2025-11-20 17:07:46,126 - INFO - [17/289] Filling stats for game_pk=660933, season=2021
2025-11-20 17:07:47,110 - INFO - [18/289] Filling stats for game_pk=660907, season=2021
2025-11-20 17:07:48,091 - INFO - [19/289] Filling stats for game_pk=660925, season=2021
2025-11-20 17:07:49,077 - INFO - [20/289] Filling stats for game_pk=660928, season=2021
2025-11-20 17:07:50,063 - INFO - [21/289] Filling stats for game_pk=660931, season=2021
2025-11-20 17:07:51,046 - INFO - [22/289] Filling stats for game_pk=660905, season=2021
2025-11-20 17:07:52,037 - INFO - [23/289] Filling stats for game_pk=660927, season=2021
2025-11-20 17:07:53,008 - INFO - [24/289] Filling stats for game_pk=660919, season=2021
2025-11-20 17:07:53,983 - INFO - [25/289] Filling stats for game_pk=660926, season=2021
2025-11-20 17:07:54,981 - INFO - [26/289] Filling stats for game_pk=660914, season=2021
2025-11-20 17:07:55,941 - INFO - [27/289] Filling stats for game_pk=660918, season=2021
2025-11-20 17:07:56,914 - INFO - [28/289] Filling stats for game_pk=660920, season=2021
2025-11-20 17:07:57,877 - INFO - [29/289] Filling stats for game_pk=660896, season=2021
2025-11-20 17:07:58,859 - INFO - [30/289] Filling stats for game_pk=660913, season=2021
2025-11-20 17:07:59,833 - INFO - [31/289] Filling stats for game_pk=660924, season=2021
2025-11-20 17:08:00,828 - INFO - [32/289] Filling stats for game_pk=660922, season=2021
2025-11-20 17:08:01,828 - INFO - [33/289] Filling stats for game_pk=660898, season=2021
2025-11-20 17:08:02,801 - INFO - [34/289] Filling stats for game_pk=660916, season=2021
2025-11-20 17:08:03,788 - INFO - [35/289] Filling stats for game_pk=660923, season=2021
2025-11-20 17:08:04,767 - INFO - [36/289] Filling stats for game_pk=660900, season=2021
2025-11-20 17:08:05,742 - INFO - [37/289] Filling stats for game_pk=660904, season=2021
2025-11-20 17:08:06,715 - INFO - [38/289] Filling stats for game_pk=660903, season=2021
2025-11-20 17:08:07,703 - INFO - [39/289] Filling stats for game_pk=660899, season=2021
2025-11-20 17:08:08,679 - INFO - [40/289] Filling stats for game_pk=660921, season=2021
2025-11-20 17:08:09,636 - INFO - [41/289] Filling stats for game_pk=660897, season=2021
2025-11-20 17:08:10,628 - INFO - [42/289] Filling stats for game_pk=660908, season=2021
2025-11-20 17:08:11,607 - INFO - [43/289] Filling stats for game_pk=660910, season=2021
2025-11-20 17:08:12,622 - INFO - [44/289] Filling stats for game_pk=660902, season=2021
2025-11-20 17:08:13,633 - INFO - [45/289] Filling stats for game_pk=660911, season=2021
2025-11-20 17:08:14,683 - INFO - [46/289] Filling stats for game_pk=660906, season=2021
2025-11-20 17:08:15,658 - INFO - [47/289] Filling stats for game_pk=663146, season=2022
2025-11-20 17:08:16,622 - INFO - [48/289] Filling stats for game_pk=662741, season=2022
2025-11-20 17:08:17,649 - INFO - [49/289] Filling stats for game_pk=663065, season=2022
2025-11-20 17:08:18,633 - INFO - [50/289] Filling stats for game_pk=661246, season=2022
2025-11-20 17:08:19,610 - INFO - [51/289] Filling stats for game_pk=663092, season=2022
2025-11-20 17:08:20,668 - INFO - [52/289] Filling stats for game_pk=663466, season=2022
2025-11-20 17:08:21,654 - INFO - [53/289] Filling stats for game_pk=662636, season=2022
2025-11-20 17:08:22,685 - INFO - [54/289] Filling stats for game_pk=661220, season=2022
2025-11-20 17:08:23,703 - INFO - [55/289] Filling stats for game_pk=661096, season=2022
2025-11-20 17:08:24,721 - INFO - [56/289] Filling stats for game_pk=663273, season=2022
2025-11-20 17:08:25,733 - INFO - [57/289] Filling stats for game_pk=663452, season=2022
2025-11-20 17:08:26,737 - INFO - [58/289] Filling stats for game_pk=715770, season=2022
2025-11-20 17:08:27,765 - INFO - [59/289] Filling stats for game_pk=715764, season=2022
2025-11-20 17:08:28,733 - INFO - [60/289] Filling stats for game_pk=715767, season=2022
2025-11-20 17:08:29,712 - INFO - [61/289] Filling stats for game_pk=715761, season=2022
2025-11-20 17:08:30,681 - INFO - [62/289] Filling stats for game_pk=715769, season=2022
2025-11-20 17:08:31,653 - INFO - [63/289] Filling stats for game_pk=715766, season=2022
2025-11-20 17:08:32,674 - INFO - [64/289] Filling stats for game_pk=715760, season=2022
2025-11-20 17:08:33,678 - INFO - [65/289] Filling stats for game_pk=715763, season=2022
2025-11-20 17:08:34,650 - INFO - [66/289] Filling stats for game_pk=715759, season=2022
2025-11-20 17:08:35,619 - INFO - [67/289] Filling stats for game_pk=715743, season=2022
2025-11-20 17:08:36,782 - INFO - [68/289] Filling stats for game_pk=715758, season=2022
2025-11-20 17:08:37,767 - INFO - [69/289] Filling stats for game_pk=715753, season=2022
2025-11-20 17:08:38,750 - INFO - [70/289] Filling stats for game_pk=715748, season=2022
2025-11-20 17:08:39,738 - INFO - [71/289] Filling stats for game_pk=715742, season=2022
2025-11-20 17:08:40,715 - INFO - [72/289] Filling stats for game_pk=715747, season=2022
2025-11-20 17:08:41,696 - INFO - [73/289] Filling stats for game_pk=715757, season=2022
2025-11-20 17:08:42,687 - INFO - [74/289] Filling stats for game_pk=715752, season=2022
2025-11-20 17:08:43,673 - INFO - [75/289] Filling stats for game_pk=715741, season=2022
2025-11-20 17:08:44,658 - INFO - [76/289] Filling stats for game_pk=715746, season=2022
2025-11-20 17:08:45,639 - INFO - [77/289] Filling stats for game_pk=715740, season=2022
2025-11-20 17:08:46,612 - INFO - [78/289] Filling stats for game_pk=715756, season=2022
2025-11-20 17:08:47,637 - INFO - [79/289] Filling stats for game_pk=715751, season=2022
2025-11-20 17:08:48,672 - INFO - [80/289] Filling stats for game_pk=715745, season=2022
2025-11-20 17:08:49,647 - INFO - [81/289] Filling stats for game_pk=715750, season=2022
2025-11-20 17:08:50,623 - INFO - [82/289] Filling stats for game_pk=715749, season=2022
